goal_id,user_id,goal_name,goal_category,target_amount,current_savings,deadline_months,monthly_required,priority,status
GOAL00001,USR00655,House Down Payment,property,3547000,1527500,86,23482.56,High,active
GOAL00002,USR00282,International Vacation,travel,219000,22000,9,21888.89,High,active
GOAL00003,USR00755,House Down Payment,property,11927000,2983500,76,117677.63,Medium,active
GOAL00004,USR00914,Stock Market Portfolio,investment,260000,41000,19,11526.32,High,active
GOAL00005,USR00433,Emergency Fund,savings,775000,272000,19,26473.68,High,active
GOAL00006,USR00224,International Vacation,travel,212000,71000,5,28200.0,Medium,active
GOAL00007,USR00028,Stock Market Portfolio,investment,456000,49500,19,21394.74,High,active
GOAL00008,USR00666,Bike Purchase,vehicle,92000,13500,4,19625.0,Medium,active
GOAL00009,USR00226,Gadget / Laptop,technology,54000,20000,10,3400.0,Medium,active
GOAL00010,USR00829,Medical Insurance Fund,healthcare,178000,84500,9,10388.89,High,active
GOAL00011,USR00826,New Car Purchase,vehicle,1847000,817500,13,79192.31,Medium,active
GOAL00012,USR00349,Wedding Fund,lifestyle,5572000,1405500,10,416650.0,High,active
GOAL00013,USR00981,Festival Shopping Fund,lifestyle,16000,10500,2,2750.0,Medium,active
GOAL00014,USR00095,Retirement Corpus,retirement,3872000,1205000,191,13963.35,High,active
GOAL00015,USR00868,Higher Education,education,1229000,409500,47,17436.17,Medium,active
GOAL00016,USR00827,Emergency Fund,savings,260000,33500,17,13323.53,Medium,active
GOAL00017,USR00550,House Down Payment,property,6424000,3219500,71,45133.8,Low,active
GOAL00018,USR00388,House Down Payment,property,352000,45000,90,3411.11,Medium,active
GOAL00019,USR00850,Child Education Fund,education,1362000,601000,95,8010.53,Medium,active
GOAL00020,USR00883,Higher Education,education,480000,42000,21,20857.14,Medium,active
GOAL00021,USR00722,House Down Payment,property,674000,125000,101,5435.64,High,active
GOAL00022,USR00234,Festival Shopping Fund,lifestyle,149000,50500,3,32833.33,High,active
GOAL00023,USR00082,Medical Insurance Fund,healthcare,54000,27000,19,1421.05,High,active
GOAL00024,USR00104,Retirement Corpus,retirement,15375000,3456500,72,165534.72,High,active
GOAL00025,USR00651,Medical Insurance Fund,healthcare,253000,14000,9,26555.56,Medium,active
GOAL00026,USR00380,Higher Education,education,200000,22000,12,14833.33,High,active
GOAL00027,USR00274,Bike Purchase,vehicle,622000,160500,15,30766.67,Low,active
GOAL00028,USR00664,House Down Payment,property,12762000,619000,66,183984.85,Medium,active
GOAL00029,USR00176,Stock Market Portfolio,investment,1950000,659500,15,86033.33,Medium,active
GOAL00030,USR00168,Gadget / Laptop,technology,124000,31000,2,46500.0,Medium,active
GOAL00031,USR00948,Child Education Fund,education,3025000,740500,121,18880.17,Medium,active
GOAL00032,USR00225,Child Education Fund,education,2422000,97500,104,22350.96,Medium,active
GOAL00033,USR00787,Festival Shopping Fund,lifestyle,29000,17500,1,11500.0,High,active
GOAL00034,USR00842,Emergency Fund,savings,48000,36500,15,766.67,Low,active
GOAL00035,USR00411,Wedding Fund,lifestyle,1764000,254000,8,188750.0,High,active
GOAL00036,USR00936,Home Renovation,property,131000,23000,30,3600.0,Low,active
GOAL00037,USR00323,International Vacation,travel,47000,22000,17,1470.59,Medium,active
GOAL00038,USR00406,Startup Capital,business,1510000,366000,12,95333.33,Low,active
GOAL00039,USR00470,New Car Purchase,vehicle,1296000,327500,16,60531.25,High,active
GOAL00040,USR00253,Bike Purchase,vehicle,120000,38500,14,5821.43,Medium,active
GOAL00041,USR00270,Bike Purchase,vehicle,708000,378500,10,32950.0,Medium,active
GOAL00042,USR00920,Home Renovation,property,677000,550500,6,21083.33,Medium,active
GOAL00043,USR00225,New Car Purchase,vehicle,1409000,681500,42,17321.43,Medium,active
GOAL00044,USR00094,Festival Shopping Fund,lifestyle,7000,2000,4,1250.0,High,active
GOAL00045,USR00113,New Car Purchase,vehicle,249000,3000,17,14470.59,Medium,active
GOAL00046,USR00812,Child Education Fund,education,611000,484000,125,1016.0,Medium,active
GOAL00047,USR00066,Retirement Corpus,retirement,9974000,861500,117,77884.62,Medium,active
GOAL00048,USR00480,Stock Market Portfolio,investment,167000,51500,30,3850.0,High,active
GOAL00049,USR00567,Medical Insurance Fund,healthcare,228000,85000,20,7150.0,Low,active
GOAL00050,USR00697,Bike Purchase,vehicle,205000,54500,3,50166.67,High,active
GOAL00051,USR00907,Stock Market Portfolio,investment,645000,454000,12,15916.67,Medium,active
GOAL00052,USR00788,Child Education Fund,education,1180000,113000,62,17209.68,Medium,active
GOAL00053,USR00301,Retirement Corpus,retirement,2461000,1151000,311,4212.22,High,active
GOAL00054,USR00004,Bike Purchase,vehicle,185000,51500,15,8900.0,Low,active
GOAL00055,USR00270,Stock Market Portfolio,investment,2467000,557500,31,61596.77,Medium,active
GOAL00056,USR00520,Startup Capital,business,5779000,3717000,34,60647.06,High,active
GOAL00057,USR00641,Wedding Fund,lifestyle,601000,37000,19,29684.21,Low,active
GOAL00058,USR00520,Home Renovation,property,1161000,357000,17,47294.12,High,active
GOAL00059,USR00383,Festival Shopping Fund,lifestyle,24000,5000,3,6333.33,High,active
